Section_2020,public_dataset,research_dataset,Variable_2020,Labels_2020_old,Question_2020,Labels_2020,Response_Type_2020,Response_Options_2020,Constructed_2020,Var_Description_2020,Var_Description_2020_old,Version_Note,baseline2016,Fall_2017_Spring_2018,Fall_2018_Spring_2019,Fall_2019_Spring_2020
0  Survey Year & Location,Keep,Keep,organization,Neighborhood Partner Organization,Neighborhood Partner Organization? ,,dropdown,"1, Massasoit Community College | 2, Codman Square Neighborhood Development Corporation | 3, Alternatives for Community and Environment | 4, Everett Community Health Partnership/Joint Committee for Children's Health Care in Everett | 5, GreenRoots | 6, Lynn United for Change | 7, Mattapan Food and Fitness Coalition | 8, Voices for a Healthy Southcoast/Southcoast YMCA | 9, Greater Fall River Partners for a Healthier Community",0,,This variable provides the neighborhood organization associated with a respondent's neighborhood.,,0,832,1035,820
0  Survey Year & Location,Remove,Keep,surveydate,,Survey Date,,text,mm/dd/yyyy hh:mm,0,,,,319,875,1035,822
0  Survey Year & Location,Keep,Keep,datenew,Survey Date,,,,yy-mm-dd,1,,"This variable provides the day, month, and year a survey was administered.",,319,875,1035,822
0  Survey Year & Location,Keep,Keep,surveyyear,Survey Year,,Survey Year,,"2016, 2017, 2018, 2019, 2020",1,"This variable provides the number of surveys completed each year. The years included are: 2016, 2017, 2018, 2019, and 2020. This variable does not correspond to a question on the survey.",This variable provides the year a survey was administered. It does not reflect a survey question; it was created using the datenew variable.,,319,875,1034,822
0  Survey Year & Location,Remove,Keep,surveytime,Survey Format,,,,00:00-24:00,1,,This variable indicates which survey format was used during administration. Possible value are: Tablet and Paper,,322,0,0,822
0  Survey Year & Location,Remove,Keep,surveylanguage,,Survey Language ,,dropdown,"1, English | 2, Spanish",0,,,,377,863,1027,814
0  Survey Year & Location,Keep,Keep,surveyformat,Survey Format,Survey format,,dropdown,"1, Paper | 2, Tablet",0,,This variable indicates which survey format was used during administration. Possible value are: Tablet and Paper,,0,0,0,707
A: Demographics & Household Composition,Remove,Keep,neighborhood,Survey Format,1. What neighborhood do you live in? ,,text,"One of the 9 HNS neighborhoods, a location within one of the 9 HNS neighborhoods, or a place outside one of the 9 HNS neighborhoods if the participant has moved",0,,This variable indicates which survey format was used during administration. Possible value are: Tablet and Paper,,0,0,0,815
A: Demographics & Household Composition,Remove,Keep,yearborn,,2. YEAR of Birth (YYYY):,,text,YYYY,0,,,,349,860,1024,805
A: Demographics & Household Composition,Remove,Keep,age,,,,,YY,1,,,,294,859,1017,804
A: Demographics & Household Composition,Remove,Keep,age_senior,,,,,"0, 1",1,,,,39,102,133,804
A: Demographics & Household Composition,Remove,Keep,agecat_6,,,,,"18-24, 25-34, 35-44, 45-54, 55-64, 65+",1,,,,294,858,1017,803
A: Demographics & Household Composition,Remove,Keep,agecat_4,,,,,"18-24, 25-44, 45-64, 65+",1,,,,294,858,1017,803
A: Demographics & Household Composition,Keep,Keep,agecat_3,Age Group,,Age Group,,"18-34, 34-60, 61+",1,"This variable was created using responses to the survey question: ""How old are you?"" Responses are categorized into three age groups: 18-34, 34-60, and 61+.","This variable was created using responses to the survey question: ""How old are you?"" Responses are categorized into three age groups: 18-34, 34-60, and 61+.",,294,858,1017,803
A: Demographics & Household Composition,Remove,Keep,countryborn,,3a. Country of birth,,text,,0,,,,370,846,1015,241
A: Demographics & Household Composition,Keep,Keep,usborn,Nationality,,Nationality,,"Foreign Born, US Born",1,"This variable was created using responses to the survey question: ""Country of birth?"" (not provided in the public data set). Responses are categorized into two groups: US-Born, and Foreign-born.","This variable was created using responses to the survey question: ""Country of birth?"" (not provided in the public data set). Responses are categorized into two groups: US-Born, and Foreign-born.",,369,846,1012,808
A: Demographics & Household Composition,Remove,Remove,monthsinus,,,,,"One to four figure number: X, XX, XXX, XXXX",1,,,,118,0,0,0
A: Demographics & Household Composition,Keep,Keep,yearstotal,Years Living in USA if Foreign Born,3b. How many years have you lived in the U.S. in TOTAL?,Years Living in USA if Foreign Born,text,"One to two figure number: X, XX",0,"This variable was created using responses to the survey question: ""How many years have you lived in the U.S. in total?"" Responses are categorized into four groups: Less than 1 year, 1-5 years, 5-10 years, and More than 10 years. Only survey respondents who were not born in the United States answer this question.","This variable was created using responses to the survey question: ""How many years have you lived in the U.S. in total?"" Only survey respondents who were not born in the United States answered this question. Responses are categorized into four groups: Less than 1 year, 1-5 years, 5-10 years, and More than 10 years.",,118,259,288,225
A: Demographics & Household Composition,Keep,Keep,otherlang,Language: Speaks Non-English Language,4. Do you speak a language other than English at home?,Language: Non-English Language,yesno,"Yes, No",0,"This variable provides responses to the survey question: ""Do you speak a language other than English at home?"" The response options are: Yes and No.","This variable provides responses to the survey question: ""Do you speak a language other than English at home?"" The response options are: Yes and No.",,363,858,1026,812
A: Demographics & Household Composition,Remove,Keep,otherlang2,,4b. Which languages?,,text,"Non-English language name such as Spanish, Creole, etc.",0,,,,160,401,419,380
A: Demographics & Household Composition,Remove,Remove,otherlang21,,,,,,1,,,,160,401,419,0
A: Demographics & Household Composition,Remove,Remove,otherlang22,,,,,,1,,,,22,35,39,0
A: Demographics & Household Composition,Remove,Remove,otherlang23,,,,,,1,,,,2,9,6,0
A: Demographics & Household Composition,Remove,Remove,otherlang24,,,,,,1,,,,0,1,1,0
A: Demographics & Household Composition,Keep,Keep,spanishlang,Language: Spanish-Speaking,,Language: Spanish,,"0, 1",1,This variable indicates whether survey respondents speak Spanish at home. The response options are: Yes and No.,"This variable provides the percentage of respondents who speak Spanish at home. It was created using the ""Speaks Non-English Language"" variable.",,377,877,1040,822
A: Demographics & Household Composition,Keep,Keep,portugueselang,Language: Portuguese-Speaking,,Language: Portuguese,," 0, 1",1,This variable indicates whether survey respondents speak Portuguese at home. The response options are: Yes and No.,This variable is constructed based on the Language Spoken at Home. It indicates which respondents speak Portuguese at home.,,377,877,1040,822
A: Demographics & Household Composition,Keep,Keep,creolelang,Language: Creole-Speaking,,Language: Creole,,"NA, Creole",1,"This variable indicates whether survey respondents speak Creole at home. The response options are: Yes and No. Note that ""Creole"" may include Haitian Creole, Portuguese Creole, or Cape Verdean Creole. Further filtering by neighborhood might provide greater insight into the specific Creole language spoken in a given place.",This variable is constructed based on the Language Spoken at Home. It indicates which respondents speak Creole at home.,,29,73,91,60
A: Demographics & Household Composition,Keep,Keep,gender,Gender,5. What is your gender?,Gender,radio,"0, Female | 1, Male | 2, Transgender | 3, I do not identify as female, male, or transgender",0,"This variable provides responses to the survey question: ""What is your gender?"" The response options are: Female, Male, and Transgender or Doesn't identify as male, female, or transgender. The response options ""Transgender"" and ""Doesn't identify as male, female, or transgender"" were grouped together for confidentiality reasons. ","This variable provides responses to the survey question ""What is your gender?"" Possible response options include: Female or Male. The other response options for this survey question ""Transgender"" and ""Neither male, female, or transgender"" were omitted for confidentiality reasons. ",,374,863,1036,815
A: Demographics & Household Composition,Remove,Keep,race___1,,,,checkbox,"Checked, Unchecked",0,,,,377,877,1040,822
A: Demographics & Household Composition,Remove,Keep,race___2,,,,checkbox,"Checked, Unchecked",0,,,,377,877,1040,822
A: Demographics & Household Composition,Remove,Keep,race___3,,,,checkbox,"Checked, Unchecked",0,,,,377,877,1040,822
A: Demographics & Household Composition,Remove,Keep,race___4,,,,checkbox,"Checked, Unchecked",0,,,,330,877,1040,822
A: Demographics & Household Composition,Remove,Keep,race___5,,,,checkbox,"Checked, Unchecked",0,,,,377,877,1040,822
A: Demographics & Household Composition,Remove,Keep,race___6,,,,checkbox,"Checked, Unchecked",0,,,,377,877,1040,822
A: Demographics & Household Composition,Remove,Keep,race___7,,,,checkbox,"Checked, Unchecked",0,,,,377,877,1040,822
A: Demographics & Household Composition,Remove,Keep,raceother,,,,text,Participants self-reported races,0,,,,0,48,43,24
A: Demographics & Household Composition,Keep,Keep,race_cat,Race/Ethnic Category,,Race/Ethnic Category,,"Asian/Native Pacific Islander, Black, Latino/Hispanic, Multiracial, Native American, White, Other",1,"This variable provides responses to the survey question: ""What is your racial or ethnic category?"" The response options are: Black, Latino/Hispanic, White, and Other. The response options ""Asian/native Pacific Islander"", ""Native American"", ""Multiracial"", and ""Other"" were grouped together for confidentiality reasons.","This variable provides responses to the survey question ""What is your racial or ethnic category?"" The response options included are: Black, Latino/Hispanic, White, and Other. Other response options for this survey queston were omitted for confidentiality reasons.",,347,860,1030,805
A: Demographics & Household Composition,Keep,Keep,education,Highest Level of Education,6. What is the highest grade or year of school you finished?,Highest Level of Education,radio,"1, Never attended school or only kindergarten | 2, Grades 1-8 | 3, Grades 9-11 | 4, Grade 12, GED or HiSet | 5, Some college or all of technical school | 6, All of college (college graduate)",0,"This variable provides responses to the survey question: ""What is the highest grade or year of school you finished?"" The response options are: Never attended high school or kindergarten, Grades 1-8, Grades 9-11, Grade 12, GED or HiSet, Some college or all of technical school, and All of college (college graduate).","This variable provides responses to the question ""What is the highest grade or year of school you finished?"" The response options are: Never attended high school or kindergarten; Grades 1-8; Grades 9-11; Grade 12, GED or HiSet; Some college or all of technical school; and All of college (college graduate).",,372,847,1029,810
A: Demographics & Household Composition,Keep,Keep,studentthisyear,Student Status in the Last Year,6b. Were you a full or part time student at any point during this year?,Student Status in the Last Year,radio,"0, Yes | 1, No",0,"This variable provides responses to the survey question: ""Were you a full or part time student at any point during this year?"" The response options are: Yes and No.","This variable provides responses to the survey question: ""Were you a full or part time student at any point during this year?"" The response options are: Yes and No.",,0,0,1013,809
A: Demographics & Household Composition,Remove,Keep,ethnicitywhite,,"7b.You checked White as your race or one of your races. Please describe your ethnicity or country of origin associated with that race (e.g. European, German, Ashkenazi, Middle-Eastern)",,text,"Ethnicity such as European, German, Ashkenazi",0,,,,0,90,83,92
A: Demographics & Household Composition,Remove,Keep,ethnicityblack,,"7b. You checked Black as your race or one of your races. Please describe your ethnicity or country of origin associated with this race (e.g. Haitian, Ghanaian, African-American) ",,text,"Ethnicity such as Haitian, Ghanaian, African-American",0,,,,0,165,142,154
A: Demographics & Household Composition,Remove,Keep,ethnicityhispanic,,"7b. You checked Hispanic/Latino as your race or one of your races. Please describe your ethnicity or country or origin (e.g. Puerto-Rican, Salvadorean, Cuban)",,text,"Ethnicity such as Puerto-Rican, Salvadorean, Cuban",0,,,,122,130,125,189
A: Demographics & Household Composition,Remove,Keep,ethnicityasian,,"7b. You checked Asian/Pacific Islander/Native Hawaiian as your race or one of your races. Please describe your ethnicity or country of origin (e.g. Vietnamese, Chinese, Laotian)",,text,"Ethnicity such as Vietnamese, Chinese, Laotian",0,,,,0,15,9,11
A: Demographics & Household Composition,Remove,Keep,ethnicitynativeamer,,7b. You checked Native American as your race. Please describe your ethnicities or countries of origin.,,text,Ethnicity or Tribe such as Wampanoag,0,,,,0,8,5,7
A: Demographics & Household Composition,Remove,Keep,ethnicitymulti,,7b. You checked multiracial as your race. Please describe your ethnicities or countries of origin (e.g. Puerto Rican and Cape Verdean; English and Native American; African American and European),,text,"Ethnicities such as Puerto Rican and Cape Verdean, or English and Native American",0,,,,0,10,12,17
A: Demographics & Household Composition,Remove,Keep,ethnicityother,,7b. You checked other as your race. Please describe your ethnicities or countries of origin.,,text,Participants self-reported ethnicity ,0,,,,0,9,16,13
A: Demographics & Household Composition,Remove,Remove,maritalstat,,8. What is your current marital status?,,radio,"1, Never Married | 4, Now Married | 5, Divorced | 6, Separated | 7, Widowed",0,,,"(categorical, 2016 only)",367,0,0,0
A: Demographics & Household Composition,Remove,Remove,maritalstat___1,,,,checkbox,"Checked, Unchecked",0,,,"(binary, 2017 -2019)",0,877,1040,0
A: Demographics & Household Composition,Remove,Remove,maritalstat___2,,,,checkbox,"Checked, Unchecked",0,,,"(binary, 2017 only)",0,877,0,0
A: Demographics & Household Composition,Remove,Remove,maritalstat___3,,,,checkbox,"Checked, Unchecked",0,,,"(binary, 2017-2019))",0,877,0,0
A: Demographics & Household Composition,Remove,Remove,maritalstat___4,,,,checkbox,"Checked, Unchecked",0,,,"(binary, 2017 -2019)",0,877,1040,0
A: Demographics & Household Composition,Remove,Remove,maritalstat___5,,,,checkbox,"Checked, Unchecked",0,,,"(binary, 2017 -2019)",0,877,1040,0
A: Demographics & Household Composition,Remove,Remove,maritalstat___6,,,,checkbox,"Checked, Unchecked",0,,,"(binary, 2017 -2019)",0,819,1040,0
A: Demographics & Household Composition,Remove,Remove,maritalstat___7,,,,checkbox,"Checked, Unchecked",0,,,"(binary, 2017 -2019)",0,819,1040,0
A: Demographics & Household Composition,Remove,Remove,marstat_cat,,,,,"Never Married, Single, Divorced, Now Married, Widowed, Domestic Partnership, Separated",1,,,,367,835,1020,0
A: Demographics & Household Composition,Keep,Keep,marstat_cat_5,Marital Status,,Marital Status,,"Divorced, Domestic Partnership or Now Married, Never Married or Single, Separated, Widowed",1,"This variable was created using responses to the survey question: ""What is your current marital status?"" Responses are categorized into five groups: Never Married, Now Married, Divorced, Separated, and Widowed.","This variable was created using responses to the survey question: ""What is your curent marital status?"" Responses are categorized into five groups: Never Married; Now Married; Divorced; Separated; Widowed.",,271,855,1020,697
A: Demographics & Household Composition,Keep,Keep,children,Children,"9a. Do you have any children or dependents, even if they are currently adults?",Children,yesno,"Yes, No",0,"This variables provides responses to the survey question: ""Do you have any children or dependents, even if they are currently adults?"" The response options are: Yes and No.","This variables provides responses to the survey question: ""Do you have any children or dependents, even if they are currently adults?"" The possible reponse options are: Yes and No.",,354,755,951,816
A: Demographics & Household Composition,Remove,Keep,childnum,,9b. How many total children or dependents do you have?,,text,Integer,0,,,,194,446,534,508
A: Demographics & Household Composition,Remove,Keep,childlivewith,,9c. How many of your children or dependents currently live with you?,,text,Integer ,0,,,,0,0,0,494
A: Demographics & Household Composition,Remove,Keep,childminor,,9d. How many of your children/dependents are under 18?,,text,"Number or Number related word like ""None""",0,,,,0,0,0,491
A: Demographics & Household Composition,Remove,Keep,hhcomposition___1,,,,checkbox,"Checked, Unchecked",0,,,,368,877,1040,822
A: Demographics & Household Composition,Keep,Keep,hhcomposition___2,Live with Nonrelated Adults,,Live with Nonrelated Adults,checkbox,"Checked, Unchecked",0,"This variable indicates whether participants selected the option ""People I am not related to"" in response to the survey question: ""Who do you live with?"" The response options are: Checked and Unchecked.","This variable indicates the number of respondents who selected that they live with people they are not related to in response to the question ""who do you live with?"" The possible response options are: Checked and Unchecked.",,365,877,1040,822
A: Demographics & Household Composition,Remove,Keep,hhroomnum,,"10b. How many people who are not related to you (ex. friends, roommates) do you live with?",,text,Integer reported by participant,0,,,,350,35,101,95
A: Demographics & Household Composition,Remove,Remove,hhcomposition___3,,,,checkbox,"Checked, Unchecked",0,,,,367,877,0,0
A: Demographics & Household Composition,Remove,Remove,hhspousenum,,,,text,Integer reported by participant,0,,,,367,877,0,0
A: Demographics & Household Composition,Remove,Remove,hhcomposition___4,,,,checkbox,"Checked, Unchecked",0,,,,363,877,0,0
A: Demographics & Household Composition,Remove,Remove,hhdependnum,,,,text,Integer reported by participant,0,,,,325,176,0,0
A: Demographics & Household Composition,Remove,Remove,hhcomposition___5,,,,checkbox,"Checked, Unchecked",0,,,,367,877,0,0
A: Demographics & Household Composition,Remove,Remove,hhparentnum,,,,text,Integer reported by participant,0,,,,346,72,0,0
A: Demographics & Household Composition,Remove,Remove,hhcomposition___6,,,,checkbox,"Checked, Unchecked",0,,,,366,877,0,0
A: Demographics & Household Composition,Remove,Remove,hhsiblingnum,,,,text,Integer reported by participant,0,,,,357,39,0,0
A: Demographics & Household Composition,Remove,Remove,hhcomposition___7,,,,checkbox,"Checked, Unchecked",0,,,,367,877,0,0
A: Demographics & Household Composition,Remove,Remove,hhextendnum,,,,text,Integer reported by participant,0,,,,359,35,0,0
A: Demographics & Household Composition,Remove,Keep,hhcomposition___8,,,,checkbox,"Checked, Unchecked",0,,,,366,877,1040,822
A: Demographics & Household Composition,Remove,Remove,hhothernum,,10b. How many other people do you live with?,,text,Integer reported by participant,0,,,,361,5,0,0
A: Demographics & Household Composition,Remove,Keep,hhcomposition___9,,,,checkbox,"Checked, Unchecked",0,,,,0,0,1040,822
A: Demographics & Household Composition,Remove,Keep,hhrelated,,10b. How many people who are related to you do you live with?,,text,Integer reported by participant,0,,,,0,0,322,393
A: Demographics & Household Composition,Remove,Keep,hhother,,Other: What other types of people do you live with?,,text,Other type of person you live with such as other people in the homeless shelter,0,,,,0,20,25,12
A: Demographics & Household Composition,Keep,Keep,hhtotnum,People in Household,Household size,Number of People in Household,text,Integer,1,"This variable provides the number of people living in a household. It was created using responses to the survey question: ""Who do you live with?"" The response options are: 1, 2, 3, 4, 5, 6, 7, 8, 9, and 10 people or more.","This variable provides the number of people living in a household. It was created using responses to the survey question: ""Who do you live with? Include the number of people in each category below."" To get the final household number, the numbers in each cateogory are summed and a 1 is added to account for the respondent. The final numbers are categorized into ten groups: 1, 2, 3, 4, 5, 6, 7, 8, 9, and 10 people or more.",,377,877,1040,822
A: Demographics & Household Composition,Keep,Keep,hhrentown,Housing Type,"11. In terms of housing, do you, your family or the person who supports you own or rent where you currently live:",Housing Type,radio,"2, Own | 1, Rent | 3, Live in public housing | 4, Live in temporary or transitional housing (i.e. shelter or half-way house) | 5, None of these",0,"This variable provides responses to the survey question: ""In terms of housing, do you, your family, or the person who supports you own or rent where you currently live?"" The response options are: Rent, Own, Living in Public Housing, Living in Temporary or Transitional Housing, and None of These.","This variable provides reponses to the survey question: In terms of housing, do you, your family, or the person who supports you own or rent where you currently live?"" The response options are: Rent, Own, Living in Public Housing, Living in Temporary or Transitional Housing, and None of These.",,334,852,1025,809
A: Demographics & Household Composition,Keep,Keep,hhassist,Housing Assistance,"12. If you rent, do you receive any form of rental assistance from the government? (e.g. section 8, housing voucher of any type)",Housing Assistance,radio,"0, Yes | 1, No | 2, Don't Know",0,"This variable provides responses to the survey question: ""If you rent, do you receive any form of rental assistance from the government?"" The response options are: Yes, No, and Don't Know.","This variable provides responses to the survey question: ""If you rent, do you receive any form of rental assistance from the government?"" The response options are: Yes, No, and Don't Know.",,267,564,656,596
B: Housing & Neighborhood,Remove,Keep,yearsinneigh,,1. How many years have you lived in [neighborhood]?,,text,Integer,0,,,,349,823,1018,810
B: Housing & Neighborhood,Keep,Keep,yearsinneigh_cat,Years Living in Neighborhood,,Years Living in Neighborhood,,,1,"This variable was created using responses to the survey question: ""How many years have you lived in your neighborhood?"" Responses are categorized into four groups: Less than 1 year, 1-5 years, 5-10 years, and More than 10 years.","This variable was created using responses to the survey question: ""How many years have you lived [respondent's neighborhood]?"" Responses are categorized into four groups: Less than 1 year, 1-5 years, 5-10 years, and More than 10 years.",,349,823,1018,810
B: Housing & Neighborhood,Remove,Remove,monthsinneigh,,,,,Integer,1,,,,349,823,1018,0
B: Housing & Neighborhood,Keep,Keep,currenthomeyrs,Years Living in Current Home,2. How long have you lived in your current home? ,Years Living in Current Home,text,Integer,0,"This variable was created using responses to the survey question: ""How many years have you lived in your current home?"" Responses are categorized into four groups: Less than 1 year, 1-5 years, 5-10 years, and More than 10 years.","This variable was created using responses to the survey question: ""How many years have you lived in your current home?"" Responses are categorized into four groups: Less than 1 year, 1-5 years, 5-10 years, and More than 10 years.",,225,454,494,803
B: Housing & Neighborhood,Remove,Keep,intersection,,3a. Which intersection do you live closest to?,,text,Name of street(s),0,,,,270,748,966,776
B: Housing & Neighborhood,Keep,Keep,move5yrs,Moved in the Last 5 Years,"3b. Have you moved in the last 5 years, including within the neighborhood?",Moved in the Last 5 Years,yesno,"Yes, No",0,"This variable provides responses to the survey question: ""Have you moved in the last 5 years, including within the neighborhood?"" The response options are: Yes and No.","This variable provides responses to the survey question ""Have you moved in the last 5 years, including within the neighborhood?"". The possible response options are: Yes and No.",,363,850,1025,803
B: Housing & Neighborhood,Remove,Keep,move5yrnum,,3c. How many different places have you lived in the last 5 years?,,text,Integer,0,,,,361,824,909,0
B: Housing & Neighborhood,Remove,Keep,neighmovenum,,3d. How many times have you moved?,,text,Integer,0,,,,0,0,0,225
B: Housing & Neighborhood,Keep,Keep,number_moves,Number of Moves in the last 5 Years,,Number of Moves in the last 5 Years,,"0,1,2-5,more than 5",1,"This variable was created based on the survey question: ""If you moved in the last 5 years, how many times have you moved?"" Responses are categorized into three groups: 1, 2-5, and More than 5. ","This variable is constructed and provides the number of times a respondent has moved within the last five years. Responses are categorized into 3 groups: 1, 2-5, and More than 5. Only respondents who checked yes in response to the survey question ""Have you moved in the last 5 years, including within the neighborhood?"" answer this question. ",,377,877,1040,822
B: Housing & Neighborhood,Keep,Keep,neighdisplaced,Move Related to Displacement,"3e. For any of these moves, were you displaced (e.g. had to leave, but didn't want to)?",Move Related to Displacement,yesno,"Yes, No",0,"This variable provides responses to the survey question: ""For any of these moves, were you displaced?"" The possible response options are: Yes and No. Only respondents who moved within the last five years answer this question.","This variable provides responses to the survey question ""For any of these moves, were you displaced?"" The possible response options are: Yes and No. Only respondents who moved within the last five years answer this question.",(2018 onwards),0,0,381,291
B: Housing & Neighborhood,Keep,Keep,changeschool,Move Forced Children to Change Schools,3f. Did your child(ren) or dependent(s) have to change schools?,Move Forced Children to Switch Schools,radio,"1, Yes | 2, No | 3, N/A",0,This variable indicates whether the respondent's children/dependents had to switch schools because of a move. The possible response options are: Yes and No.,This variable indicates whether the respondent's children/dependents had to switch schools because of the move. The possible response options are: Yes and No.,,196,151,140,264
B: Housing & Neighborhood,Keep,Keep,neighnotmove,Reason for not Moving,3c. Why haven't you moved?,Reason for not Moving,radio,"1, I wanted to stay where I was living. | 2, I wanted to move but was not able to. | 3, Other",0,"This variable provides responses to the survey question: ""Why haven't you moved?"" The response options are: I wanted to stay where I was living, I wanted to move but was not able to, and Other. Only respondents who have not moved within the last five years answer this question.","This variable provides responses to the survey question: ""Why haven't you moved?"" The response options are: I wanted to stay where I was living, I wanted to move but was not able to, and Other. Only respondents who have not moved within the last five years answer this question.",(2018 onwards),0,0,524,496
B: Housing & Neighborhood,Remove,Keep,neighnotmovebecause,,3c (cont). Why were you not able to move even though you wanted to?,,text,Factors preenting respondent from moving,0,,,(2018 onwards),0,0,82,83
B: Housing & Neighborhood,Remove,Remove,whystuckneigh,,,,radio,"Affordability and Financial Constraints, Health, Homelessness, Home Size, Waiting to Buy, Other",1,,,"(2018 onwards, computed)",0,0,72,0
B: Housing & Neighborhood,Keep,Keep,moveafford,Reason for past move: Affordability,,Reason for past move: Affordability,checkbox,"Checked, Unchecked",0,"This variable indicates whether participants checked ""Affordability (e.g. rent was too expensive)"" in response to the survey question: ""Why did you move?"" The response options are: Checked and Unchecked.","This variable indicates whether a participant checked ""affordability (e.g. landlord raised the rent, to find a cheaper place)."" in reponse to the question ""Why did you move?"" Only respondents who moved within the last five years answer this question.",,141,877,1040,822
B: Housing & Neighborhood,Keep,Keep,moveculture,Reason for past move: Change of Culture,,Reason for past move: Change of Culture,checkbox,"Checked, Unchecked",0,"This variable indicates whether participants checked ""Change of Culture"" in response to the question: ""Why did you move?"" The response options are: Checked and Unchecked.",This variable indicates whether a participant moved because of a change in neighborhood culture.,,141,877,1040,822
B: Housing & Neighborhood,Keep,Keep,movecommute,Reason for past move Commute,,Reason for past move: Commute,checkbox,"Checked, Unchecked",0,"This variable indicates whether participants checked ""Commute (e.g. distance to work)"" in response to the survey question: ""Why did you move?"" The response options are: Checked and Unchecked.",This variable indicates whether a participant moved because of their commute or distance to work.,,141,877,1040,822
B: Housing & Neighborhood,Keep,Keep,movecrime,Reason for past move: Crime,,Reason for past move: Crime or Drugs,checkbox,"Checked, Unchecked",0,"This variable indicates whether participants checked ""Crime or Drugs (e.g. in the building, block or neighborhood)"" in response to the survey question: ""Why did you move?"" The response options are: Checked and Unchecked.","This variable indicates whether a participant moved because of crime and/or drugs in the building, block, or neighborhood.",,141,877,1040,822
B: Housing & Neighborhood,Keep,Keep,moveedu,Reason for past move: Education,,Reason for past move: Education,checkbox,"Checked, Unchecked",0,"This variable indicates whether participants checked ""Education (e.g. better schools, colleges)"" in response to the survey question: ""Why did you move?"" The response options are: Checked and Unchecked.","This variable indicates whether a participant moved because of education (e.g. better schools in another neighborhood, to go to college).",,141,877,1040,822
B: Housing & Neighborhood,Keep,Keep,moveenv,Reason for past move: Environmental Quality,,Reason for past move: Environmental Quality,checkbox,"Checked, Unchecked",0,"This variable indicates whether participants checked ""Environmental Quality (e.g. better air quality)"" in response to the survey question: ""Why did you move?"" The response options are: Checked and Unchecked.","This variable indicates whether a participant moved because of the environmental quality in their neighborhood (e.g. poor air quality, or environmental hazards where the participant lived).",,141,877,1040,822
B: Housing & Neighborhood,Keep,Keep,moverace,Reason for past move: Racial Tensions,,Reason for past move: Ethnic/Racial Tensions,checkbox,"Checked, Unchecked",0,"This variable indicates whether participants checked ""Ethnic/Racial Tensions"" in response to the survey question: ""Why did you move?"" The response options are: Checked and Unchecked.",This variable indicates whether a participant moved because of ethnic or racial tensions in their neighborhood.,,141,877,1040,822
B: Housing & Neighborhood,Keep,Keep,moveevict,Reason for past move: Eviction,,Reason for past move: Eviction,checkbox,"Checked, Unchecked",0,"This variable indicates whether participants checked ""Eviction (When your landlord forces you to move when you don’t want to)"" in response to the survey question: ""Why did you move?"" The response options are: Checked and Unchecked.",This variable indicates whether a participant moved because of an eviction.,,141,877,1040,822
